CMA,CDUID,Province,RCP,GCM,Era,Number of heat hospitalizations per year
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp45,HadGEM2-AO,2080s,58.08126984
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp45,HadGEM2-ES,2050s,37.42820768
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp45,HadGEM2-ES,2080s,60.67733814
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp45,MIROC-ESM-CHEM,2050s,39.74245965
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp45,MIROC-ESM-CHEM,2080s,57.20556597
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp45,MRI-CGCM3,2050s,22.86097233
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp45,MRI-CGCM3,2080s,34.06711539
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,CCSM4,2050s,41.08034455
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,CCSM4,2080s,76.19318855
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,GFDL-CM3,2050s,68.04602766
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,GFDL-CM3,2080s,114.8038593
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,GFDL-ESM2M,2050s,39.76925214
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,GFDL-ESM2M,2080s,63.49926015
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,HadGEM2-AO,2050s,49.88690591
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,HadGEM2-AO,2080s,89.62539164
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,HadGEM2-ES,2050s,48.77990109
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,HadGEM2-ES,2080s,95.67589828
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,MIROC-ESM-CHEM,2050s,55.26196438
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,MIROC-ESM-CHEM,2080s,104.6870912
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,MRI-CGCM3,2050s,27.60790402
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2479,Quebec,rcp85,MRI-CGCM3,2080s,56.68826418
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,CCSM4,2050s,24.5465113
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,CCSM4,2080s,32.30812294
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,GFDL-CM3,2050s,39.41069018
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,GFDL-CM3,2080s,56.19327533
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,GFDL-ESM2M,2050s,16.86971638
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,GFDL-ESM2M,2080s,23.27609838
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,HadGEM2-AO,2050s,29.99849305
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,HadGEM2-AO,2080s,42.48232411
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,HadGEM2-ES,2050s,28.24846352
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,HadGEM2-ES,2080s,43.95535069
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,MIROC-ESM-CHEM,2050s,26.90082773
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,MIROC-ESM-CHEM,2080s,40.2107261
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,MRI-CGCM3,2050s,17.70554376
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp45,MRI-CGCM3,2080s,25.02330874
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,CCSM4,2050s,28.5261172
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,CCSM4,2080s,52.23147648
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,GFDL-CM3,2050s,44.41712297
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,GFDL-CM3,2080s,73.12262306
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,GFDL-ESM2M,2050s,25.87304065
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,GFDL-ESM2M,2080s,42.18328685
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,HadGEM2-AO,2050s,34.21371001
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,HadGEM2-AO,2080s,60.24643353
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,HadGEM2-ES,2050s,34.67807429
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,HadGEM2-ES,2080s,63.64105942
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,MIROC-ESM-CHEM,2050s,37.37389572
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,MIROC-ESM-CHEM,2080s,67.09950019
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,MRI-CGCM3,2050s,20.34502603
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2480,Quebec,rcp85,MRI-CGCM3,2080s,40.81743531
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,CCSM4,2050s,310.4929985
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,CCSM4,2080s,411.8952934
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,GFDL-CM3,2050s,463.4614549
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,GFDL-CM3,2080s,669.3081685
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,GFDL-ESM2M,2050s,208.4756512
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,GFDL-ESM2M,2080s,300.8365359
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,HadGEM2-AO,2050s,383.0977585
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,HadGEM2-AO,2080s,547.7338116
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,HadGEM2-ES,2050s,361.167957
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,HadGEM2-ES,2080s,549.5562983
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,MIROC-ESM-CHEM,2050s,349.9802286
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,MIROC-ESM-CHEM,2080s,514.6076901
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,MRI-CGCM3,2050s,230.1509323
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp45,MRI-CGCM3,2080s,340.602971
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,CCSM4,2050s,349.097862
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,CCSM4,2080s,642.1185728
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,GFDL-CM3,2050s,521.2451014
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,GFDL-CM3,2080s,860.9733235
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,GFDL-ESM2M,2050s,315.8452312
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,GFDL-ESM2M,2080s,518.4098297
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,HadGEM2-AO,2050s,408.1818097
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,HadGEM2-AO,2080s,725.9647451
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,HadGEM2-ES,2050s,427.8030749
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,HadGEM2-ES,2080s,774.2631499
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,MIROC-ESM-CHEM,2050s,464.7502663
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,MIROC-ESM-CHEM,2080s,824.3215928
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,MRI-CGCM3,2050s,265.6442194
Ottawa - Gatineau (partie du Québec / Quebec part),2481,Quebec,rcp85,MRI-CGCM3,2080s,517.2164393
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,CCSM4,2050s,54.49614825
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,CCSM4,2080s,71.5567112
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,GFDL-CM3,2050s,84.47811218
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,GFDL-CM3,2080s,119.7115139
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,GFDL-ESM2M,2050s,36.84466242
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,GFDL-ESM2M,2080s,50.97338187
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,HadGEM2-AO,2050s,65.86417729
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,HadGEM2-AO,2080s,95.95931066
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,HadGEM2-ES,2050s,63.69486252
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,HadGEM2-ES,2080s,96.84584258
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,MIROC-ESM-CHEM,2050s,61.22755665
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,MIROC-ESM-CHEM,2080s,90.21742792
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,MRI-CGCM3,2050s,40.17957231
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp45,MRI-CGCM3,2080s,57.91880383
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,CCSM4,2050s,62.8771729
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,CCSM4,2080s,114.3718638
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,GFDL-CM3,2050s,95.50019749
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,GFDL-CM3,2080s,155.9215812
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,GFDL-ESM2M,2050s,56.42547225
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,GFDL-ESM2M,2080s,92.16204071
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,HadGEM2-AO,2050s,72.78065017
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,HadGEM2-AO,2080s,128.9802985
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,HadGEM2-ES,2050s,75.87426817
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,HadGEM2-ES,2080s,137.3223847
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,MIROC-ESM-CHEM,2050s,82.62905582
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,MIROC-ESM-CHEM,2080s,146.8542456
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,MRI-CGCM3,2050s,45.59797368
Ottawa - Gatineau (partie du Québec / Quebec part),2482,Quebec,rcp85,MRI-CGCM3,2080s,90.1214854
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,CCSM4,2050s,20.6431731
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,CCSM4,2080s,25.73694046
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,GFDL-CM3,2050s,35.67765479
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,GFDL-CM3,2080s,49.96799055
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,GFDL-ESM2M,2050s,15.30485752
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,GFDL-ESM2M,2080s,21.01967238
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,HadGEM2-AO,2050s,23.33464911
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,HadGEM2-AO,2080s,34.35673992
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,HadGEM2-ES,2050s,22.07539048
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,HadGEM2-ES,2080s,35.34314804
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,MIROC-ESM-CHEM,2050s,23.6474784
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,MIROC-ESM-CHEM,2080s,33.62577248
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,MRI-CGCM3,2050s,13.70442067
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp45,MRI-CGCM3,2080s,20.45585877
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,CCSM4,2050s,23.90286383
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,CCSM4,2080s,43.52334704
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,GFDL-CM3,2050s,39.24502888
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,GFDL-CM3,2080s,65.79386495
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,GFDL-ESM2M,2050s,23.06889031
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,GFDL-ESM2M,2080s,36.74501535
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,HadGEM2-AO,2050s,28.65670157
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,HadGEM2-AO,2080s,51.37577692
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,HadGEM2-ES,2050s,28.87509693
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,HadGEM2-ES,2080s,54.88130505
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,MIROC-ESM-CHEM,2050s,32.31468928
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,MIROC-ESM-CHEM,2080s,60.70966426
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,MRI-CGCM3,2050s,16.05654814
Zone d'influence métropolitaine modérée (Qc) / Moderate metropolitan influenced zone (Que.),2483,Quebec,rcp85,MRI-CGCM3,2080s,32.91121571
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,CCSM4,2050s,14.84913033
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,CCSM4,2080s,18.66331665
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,GFDL-CM3,2050s,25.231163
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,GFDL-CM3,2080s,35.38024981
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,GFDL-ESM2M,2050s,10.27685221
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,GFDL-ESM2M,2080s,14.43472367
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,HadGEM2-AO,2050s,17.1164509
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,HadGEM2-AO,2080s,25.79734542
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,HadGEM2-ES,2050s,16.23432398
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,HadGEM2-ES,2080s,26.25874581
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,MIROC-ESM-CHEM,2050s,16.61552611
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,MIROC-ESM-CHEM,2080s,24.10571581
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,MRI-CGCM3,2050s,10.27609915
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp45,MRI-CGCM3,2080s,14.95539041
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,CCSM4,2050s,17.48483657
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,CCSM4,2080s,31.52741066
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,GFDL-CM3,2050s,27.90358961
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,GFDL-CM3,2080s,46.23373358
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,GFDL-ESM2M,2050s,16.31548658
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,GFDL-ESM2M,2080s,26.35316832
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,HadGEM2-AO,2050s,20.50227695
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,HadGEM2-AO,2080s,36.85931904
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,HadGEM2-ES,2050s,21.0235482
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,HadGEM2-ES,2080s,39.07414371
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,MIROC-ESM-CHEM,2050s,22.87578517
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,MIROC-ESM-CHEM,2080s,42.20350475
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,MRI-CGCM3,2050s,11.72402876
Zone d'influence métropolitaine forte (Qc) / Strong metropolitan influenced zone (Que.),2484,Quebec,rcp85,MRI-CGCM3,2080s,24.15296097
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,CCSM4,2050s,16.15625304
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,CCSM4,2080s,20.29329898
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,GFDL-CM3,2050s,27.78348429
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,GFDL-CM3,2080s,39.18540804
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,GFDL-ESM2M,2050s,10.75574041
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,GFDL-ESM2M,2080s,15.45546195
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,HadGEM2-AO,2050s,18.85131794
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,HadGEM2-AO,2080s,28.37569562
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,HadGEM2-ES,2050s,17.32572383
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,HadGEM2-ES,2080s,28.02131222
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,MIROC-ESM-CHEM,2050s,18.88507004
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,MIROC-ESM-CHEM,2080s,26.81454566
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,MRI-CGCM3,2050s,11.00260513
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp45,MRI-CGCM3,2080s,16.92021416
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,CCSM4,2050s,18.87158601
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,CCSM4,2080s,34.29376344
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,GFDL-CM3,2050s,30.66056594
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,GFDL-CM3,2080s,51.5622258
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,GFDL-ESM2M,2050s,18.05996971
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,GFDL-ESM2M,2080s,29.12768643
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,HadGEM2-AO,2050s,22.31566491
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,HadGEM2-AO,2080s,40.47310005
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,HadGEM2-ES,2050s,22.52039262
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,HadGEM2-ES,2080s,43.31413287
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,MIROC-ESM-CHEM,2050s,25.10895862
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,MIROC-ESM-CHEM,2080s,48.14632392
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,MRI-CGCM3,2050s,13.19888709
Zone d'influence métropolitaine faible (Qc) / Weak metropolitan influenced zone (Que.),2485,Quebec,rcp85,MRI-CGCM3,2080s,26.49721083
Rouyn-Noranda,2486,Quebec,rcp45,CCSM4,2050s,36.42092121
Rouyn-Noranda,2486,Quebec,rcp45,CCSM4,2080s,47.8181951
Rouyn-Noranda,2486,Quebec,rcp45,GFDL-CM3,2050s,69.07300042
Rouyn-Noranda,2486,Quebec,rcp45,GFDL-CM3,2080s,96.25262774
Rouyn-Noranda,2486,Quebec,rcp45,GFDL-ESM2M,2050s,25.91041183
Rouyn-Noranda,2486,Quebec,rcp45,GFDL-ESM2M,2080s,38.09570755
Rouyn-Noranda,2486,Quebec,rcp45,HadGEM2-AO,2050s,48.83377065
Rouyn-Noranda,2486,Quebec,rcp45,HadGEM2-AO,2080s,71.09040276
Rouyn-Noranda,2486,Quebec,rcp45,HadGEM2-ES,2050s,42.04066539
Rouyn-Noranda,2486,Quebec,rcp45,HadGEM2-ES,2080s,69.29282339
Rouyn-Noranda,2486,Quebec,rcp45,MIROC-ESM-CHEM,2050s,48.17806846
Rouyn-Noranda,2486,Quebec,rcp45,MIROC-ESM-CHEM,2080s,67.3310321
Rouyn-Noranda,2486,Quebec,rcp45,MRI-CGCM3,2050s,26.12659065
Rouyn-Noranda,2486,Quebec,rcp45,MRI-CGCM3,2080s,40.27284486
Rouyn-Noranda,2486,Quebec,rcp85,CCSM4,2050s,45.33531573
Rouyn-Noranda,2486,Quebec,rcp85,CCSM4,2080s,85.99148119
Rouyn-Noranda,2486,Quebec,rcp85,GFDL-CM3,2050s,76.40288048
Rouyn-Noranda,2486,Quebec,rcp85,GFDL-CM3,2080s,132.3437612
Rouyn-Noranda,2486,Quebec,rcp85,GFDL-ESM2M,2050s,44.2583338
Rouyn-Noranda,2486,Quebec,rcp85,GFDL-ESM2M,2080s,71.64971982
Rouyn-Noranda,2486,Quebec,rcp85,HadGEM2-AO,2050s,54.86984196
Rouyn-Noranda,2486,Quebec,rcp85,HadGEM2-AO,2080s,100.733241
Rouyn-Noranda,2486,Quebec,rcp85,HadGEM2-ES,2050s,53.5819928
