CMA,CDUID,Province,RCP,GCM,Era,Number of heat hospitalizations per year
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,HadGEM2-ES,2080s,28.73007987
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2050s,22.72482383
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2080s,29.79604396
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,MRI-CGCM3,2050s,7.238676275
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1003,Newfoundland and Labrador,rcp85,MRI-CGCM3,2080s,15.09818634
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,CCSM4,2050s,8.927872996
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,CCSM4,2080s,7.99558132
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,GFDL-CM3,2050s,22.8965543
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,GFDL-CM3,2080s,25.29288483
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2050s,6.317478944
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2080s,4.196564908
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,HadGEM2-AO,2050s,20.06997286
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,HadGEM2-AO,2080s,19.05932721
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,HadGEM2-ES,2050s,17.91847863
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,HadGEM2-ES,2080s,21.79924021
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2050s,23.32569873
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2080s,22.38009326
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,MRI-CGCM3,2050s,5.714681785
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp45,MRI-CGCM3,2080s,4.882038259
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,CCSM4,2050s,14.2188457
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,CCSM4,2080s,24.00835749
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,GFDL-CM3,2050s,28.88700572
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,GFDL-CM3,2080s,39.31559957
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2050s,8.566032026
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2080s,12.87933178
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,HadGEM2-AO,2050s,22.99272633
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,HadGEM2-AO,2080s,32.92486448
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,HadGEM2-ES,2050s,25.03441863
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,HadGEM2-ES,2080s,37.2430108
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2050s,30.18315484
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2080s,39.15551654
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,MRI-CGCM3,2050s,8.55627025
Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),1004,Newfoundland and Labrador,rcp85,MRI-CGCM3,2080s,18.68133881
Corner Brook,1005,Newfoundland and Labrador,rcp45,CCSM4,2050s,18.27990168
Corner Brook,1005,Newfoundland and Labrador,rcp45,CCSM4,2080s,15.61376954
Corner Brook,1005,Newfoundland and Labrador,rcp45,GFDL-CM3,2050s,41.81061336
Corner Brook,1005,Newfoundland and Labrador,rcp45,GFDL-CM3,2080s,45.15278685
Corner Brook,1005,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2050s,9.955847487
Corner Brook,1005,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2080s,5.504986623
Corner Brook,1005,Newfoundland and Labrador,rcp45,HadGEM2-AO,2050s,33.90586656
Corner Brook,1005,Newfoundland and Labrador,rcp45,HadGEM2-AO,2080s,34.63026271
Corner Brook,1005,Newfoundland and Labrador,rcp45,HadGEM2-ES,2050s,31.65197356
Corner Brook,1005,Newfoundland and Labrador,rcp45,HadGEM2-ES,2080s,37.8850055
Corner Brook,1005,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2050s,40.93158991
Corner Brook,1005,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2080s,39.0121273
Corner Brook,1005,Newfoundland and Labrador,rcp45,MRI-CGCM3,2050s,9.616241802
Corner Brook,1005,Newfoundland and Labrador,rcp45,MRI-CGCM3,2080s,8.024206586
Corner Brook,1005,Newfoundland and Labrador,rcp85,CCSM4,2050s,27.63063451
Corner Brook,1005,Newfoundland and Labrador,rcp85,CCSM4,2080s,42.9868465
Corner Brook,1005,Newfoundland and Labrador,rcp85,GFDL-CM3,2050s,53.57608163
Corner Brook,1005,Newfoundland and Labrador,rcp85,GFDL-CM3,2080s,73.54188999
Corner Brook,1005,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2050s,14.57219336
Corner Brook,1005,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2080s,21.23632064
Corner Brook,1005,Newfoundland and Labrador,rcp85,HadGEM2-AO,2050s,43.06551023
Corner Brook,1005,Newfoundland and Labrador,rcp85,HadGEM2-AO,2080s,62.64738686
Corner Brook,1005,Newfoundland and Labrador,rcp85,HadGEM2-ES,2050s,46.81278194
Corner Brook,1005,Newfoundland and Labrador,rcp85,HadGEM2-ES,2080s,69.37011729
Corner Brook,1005,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2050s,54.03244186
Corner Brook,1005,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2080s,70.46602753
Corner Brook,1005,Newfoundland and Labrador,rcp85,MRI-CGCM3,2050s,15.33760561
Corner Brook,1005,Newfoundland and Labrador,rcp85,MRI-CGCM3,2080s,33.15933907
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,CCSM4,2050s,16.64709908
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,CCSM4,2080s,11.60011495
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,GFDL-CM3,2050s,37.94661793
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,GFDL-CM3,2080s,39.25672072
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2050s,8.591199291
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2080s,2.950574082
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,HadGEM2-AO,2050s,30.14032595
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,HadGEM2-AO,2080s,29.17806617
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,HadGEM2-ES,2050s,29.49585522
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,HadGEM2-ES,2080s,31.48540508
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2050s,39.67527498
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,MIROC-ESM-CHEM,2080s,36.81021371
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,MRI-CGCM3,2050s,7.418175158
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp45,MRI-CGCM3,2080s,6.634256103
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,CCSM4,2050s,24.7794138
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,CCSM4,2080s,35.62604806
