,Project,Adaptation,Outcome,Unit,GCM,RCP,yr,Era,Level,Province,ID,Avg,Low,High
77,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,High-emissions,2020,2020s,PT,Quebec,1,670.4049012,670.4049012,670.4049012
78,Infrastructure,No adaptation,Coastal flooding,Cost per household ($),Ensemble,Low-emissions,2020,2020s,PT,Quebec,1,670.4049012,670.4049012,670.4049012
79,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,Low-emissions,2020,2020s,PT,Quebec,1,4.350122086,4.350122086,4.350122086
80,Infrastructure,No adaptation,Coastal flooding,Total cost (millions $),Ensemble,High-emissions,2020,2020s,PT,Quebec,1,4.350122086,4.350122086,4.350122086
81,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,CCSM4,Low-emissions,2050,2050s,PT,Alberta,4,607.8472667,607.8472667,607.8472667
82,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-CM3,Low-emissions,2050,2050s,PT,Alberta,4,502.4999338,502.4999338,502.4999338
83,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-ESM2M,Low-emissions,2050,2050s,PT,Alberta,4,196.8026455,196.8026455,196.8026455
84,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-AO,Low-emissions,2050,2050s,PT,Alberta,4,926.322985,926.322985,926.322985
85,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-ES,Low-emissions,2050,2050s,PT,Alberta,4,855.1187739,855.1187739,855.1187739
86,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MIROC-ESM-CHEM,Low-emissions,2050,2050s,PT,Alberta,4,783.8495558,783.8495558,783.8495558
87,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MRI-CGCM3,Low-emissions,2050,2050s,PT,Alberta,4,145.9623194,145.9623194,145.9623194
88,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,CCSM4,Low-emissions,2080,2080s,PT,Alberta,4,1064.174862,1064.174862,1064.174862
89,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-CM3,Low-emissions,2080,2080s,PT,Alberta,4,1106.022454,1106.022454,1106.022454
90,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-ESM2M,Low-emissions,2080,2080s,PT,Alberta,4,464.3176835,464.3176835,464.3176835
91,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-AO,Low-emissions,2080,2080s,PT,Alberta,4,1812.687952,1812.687952,1812.687952
92,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-ES,Low-emissions,2080,2080s,PT,Alberta,4,1636.157115,1636.157115,1636.157115
93,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MIROC-ESM-CHEM,Low-emissions,2080,2080s,PT,Alberta,4,1356.370768,1356.370768,1356.370768
94,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MRI-CGCM3,Low-emissions,2080,2080s,PT,Alberta,4,419.0652277,419.0652277,419.0652277
95,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,CCSM4,High-emissions,2050,2050s,PT,Alberta,4,774.4954018,774.4954018,774.4954018
96,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-CM3,High-emissions,2050,2050s,PT,Alberta,4,673.1702824,673.1702824,673.1702824
97,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-ESM2M,High-emissions,2050,2050s,PT,Alberta,4,396.5989059,396.5989059,396.5989059
98,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-AO,High-emissions,2050,2050s,PT,Alberta,4,1175.135653,1175.135653,1175.135653
99,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-ES,High-emissions,2050,2050s,PT,Alberta,4,979.6635031,979.6635031,979.6635031
100,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MIROC-ESM-CHEM,High-emissions,2050,2050s,PT,Alberta,4,1028.687518,1028.687518,1028.687518
101,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MRI-CGCM3,High-emissions,2050,2050s,PT,Alberta,4,266.7710597,266.7710597,266.7710597
102,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,CCSM4,High-emissions,2080,2080s,PT,Alberta,4,1877.41081,1877.41081,1877.41081
103,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-CM3,High-emissions,2080,2080s,PT,Alberta,4,1737.500066,1737.500066,1737.500066
104,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-ESM2M,High-emissions,2080,2080s,PT,Alberta,4,957.0694953,957.0694953,957.0694953
105,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-AO,High-emissions,2080,2080s,PT,Alberta,4,2660.793551,2660.793551,2660.793551
106,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-ES,High-emissions,2080,2080s,PT,Alberta,4,2528.500023,2528.500023,2528.500023
107,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MIROC-ESM-CHEM,High-emissions,2080,2080s,PT,Alberta,4,2406.314968,2406.314968,2406.314968
108,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MRI-CGCM3,High-emissions,2080,2080s,PT,Alberta,4,832.8855719,832.8855719,832.8855719
109,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),CCSM4,Low-emissions,2050,2050s,PT,Alberta,4,5672.146406,5672.146406,5672.146406
110,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),GFDL-CM3,Low-emissions,2050,2050s,PT,Alberta,4,4689.094366,4689.094366,4689.094366
111,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),GFDL-ESM2M,Low-emissions,2050,2050s,PT,Alberta,4,1836.470244,1836.470244,1836.470244
112,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),HadGEM2-AO,Low-emissions,2050,2050s,PT,Alberta,4,8644.01286,8644.01286,8644.01286
113,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),HadGEM2-ES,Low-emissions,2050,2050s,PT,Alberta,4,7979.568464,7979.568464,7979.568464
114,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),MIROC-ESM-CHEM,Low-emissions,2050,2050s,PT,Alberta,4,7314.517452,7314.517452,7314.517452
115,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),MRI-CGCM3,Low-emissions,2050,2050s,PT,Alberta,4,1362.052099,1362.052099,1362.052099
116,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),CCSM4,Low-emissions,2080,2080s,PT,Alberta,4,11663.966,11663.966,11663.966
117,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),GFDL-CM3,Low-emissions,2080,2080s,PT,Alberta,4,12122.63957,12122.63957,12122.63957
118,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),GFDL-ESM2M,Low-emissions,2080,2080s,PT,Alberta,4,5089.187749,5089.187749,5089.187749
119,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),HadGEM2-AO,Low-emissions,2080,2080s,PT,Alberta,4,19868.09818,19868.09818,19868.09818
120,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),HadGEM2-ES,Low-emissions,2080,2080s,PT,Alberta,4,17933.21908,17933.21908,17933.21908
121,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),MIROC-ESM-CHEM,Low-emissions,2080,2080s,PT,Alberta,4,14866.60048,14866.60048,14866.60048
122,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),MRI-CGCM3,Low-emissions,2080,2080s,PT,Alberta,4,4593.194915,4593.194915,4593.194915
